"id","name","service_group_id","service_type_id","service_status_id","inserted_at","updated_at"
199,Three Wheeler,20,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
200,Truck,20,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
201,Equipment,20,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
202,Heavy Equipment,20,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
203,Construction Equipment,20,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
205,Air Ducting,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
206,Appliance Sales & Service,21,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
207,Appliances,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
208,Auto/ Car mechanic,21,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
209,Bath & Showers,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
210,Carpentry,21,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
211,Carpet & Flooring,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
212,Garage Door,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
216,Handyman,21,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
218,Mason,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
219,Natural Gas appliance,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
220,Plumbing & Repiping,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
221,Rain Gutter,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
222,Roofing,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
223,Solar Panel Installer,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
224,Water & Sewage,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
225,Water Heating,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
226,Window Installation,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
227,Auto Body Painting,21,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
228,Air Tickets,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
229,Boys Hostel,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
230,Bus Tickets,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
231,Girls Hostel,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
232,Home/ Room Sharing,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
233,Local Tours,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
234,Long Term Lease,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
235,Paying guest,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
236,Pilgrimage tours,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
237,Sight seeing,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
238,Train Tickets,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
239,Travel planner,22,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
240,Pet care & grooming,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
241,Veterinary services,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
171,Plumbing,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
169,"Window Shades, Shutters & Blinds",38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
168,Window Curtains & Drapes,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
163,Solar Panel Installer,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
162,Skylight & Solar Daylighting,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
161,Painter/ Painting,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
164,Home Cleaning,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
172,Carpenter,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
204,Air Conditioning and Heating,21,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
213,General Construction,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
214,General Contractor,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
215,General Electrical,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
217,Heating & Air Conditioning,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
242,Pet food,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
243,Animal rescue,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
244,Animal rescue,1,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
245,Catering services,2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
246,"Sweet, treats & hots",2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
247,North Indian,2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
248,South Indian,2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
