description,id
arcadis,arcadis
motorola,motorola
chubb,chubb
stanford university,stanford_university
mercer,mercer
airtel,airtel
colegio,colegio
sony,sony
genentech,genentech
delphi,delphi
serco,serco
bd,bd
leroy merlin,leroy_merlin
sct ltd co.,sct_ltd_co.
air liquide,air_liquide
te connectivity,te_connectivity
wood,wood
promsvyaznedvizhimost,promsvyaznedvizhimost
duke energy corporation,duke_energy_corporation
university of toronto,university_of_toronto
teksystems,teksystems
insidesecure,insidesecure
sun life financial,sun_life_financial
tata motors,tata_motors
century 21®,century_21®
adecco group,adecco_group
colgate palmolive,colgate_palmolive
ge aviation,ge_aviation
no,no
tesla,tesla
sena,sena
queensland health,queensland_health
air france,air_france
u.s. coast guard,u.s._coast_guard
the janssen pharmaceutical companies of johnson & johnson,the_janssen_pharmaceutical_companies_of_johnson_&_johnson
bayer healthcare,bayer_healthcare
stmicroelectronics,stmicroelectronics
charter communications,charter_communications
re/max,re/max
jabil,jabil
us government,us_government
skanska,skanska
leonardo,leonardo
accorhotels,accorhotels
brf,brf
l&t infotech,l&t_infotech
sonatrach,sonatrach
pizza hut,pizza_hut
technip,technip
eni,eni
departament d'ensenyament - generalitat de catalunya,departament_d'ensenyament_-_generalitat_de_catalunya
altran,altran
emerson automation solutions,emerson_automation_solutions
the boston consulting group (bcg),the_boston_consulting_group_(bcg)
l-3 communications,l-3_communications
davita,davita
intesa sanpaolo,intesa_sanpaolo
daimler ag,daimler_ag
lear corporation,lear_corporation
rockwell automation,rockwell_automation
rb,rb
db schenker,db_schenker
hôtel,hôtel
wells fargo advisors,wells_fargo_advisors
accenture in india,accenture_in_india
texas a&m university,texas_a&m_university
bloomberg lp,bloomberg_lp
arizona state university,arizona_state_university
heineken,heineken
escola,escola
statoil,statoil
ppg industries,ppg_industries
sainsbury's,sainsbury's
fiserv,fiserv
teva pharmaceuticals,teva_pharmaceuticals
rogers communications,rogers_communications
conocophillips,conocophillips
diageo,diageo
michigan state university,michigan_state_university
qatar airways,qatar_airways
generali,generali
suntrust bank,suntrust_bank
rockwell collins,rockwell_collins
office depot,office_depot
sephora,sephora
telenor,telenor
manulife,manulife
ceva logistics,ceva_logistics
